Image,Input_Image_Size_MB,Original_Resolution,Output_Resolution,Megapixels,baseline_ms,openmp_ms,openmp_speedup,cuda_ms,cuda_speedup,mpi_ms,mpi_speedup,baseline_throughput_MPps,openmp_throughput_MPps,cuda_throughput_MPps,mpi_throughput_MPps
0059.jpg,62.556,6240x3504,3120x1752,21.865,1297.8233333333335,145.6144,10.416666666666666,18.504933333333334,71.836,76.31816666666667,17.93433333333333,16.847,150.157,1181.577,286.498
0060.jpg,63.613,6288x3536,3144x1768,22.234,1323.96,145.80426666666668,10.798333333333332,19.105166666666666,70.253,69.67383333333333,19.830333333333332,16.794,152.492,1163.769,319.115
0061.jpg,64.679,6336x3568,3168x1784,22.607,1317.9466666666667,133.4034,11.668666666666667,19.30216666666667,69.25766666666667,75.34196666666666,17.785333333333334,17.153,169.463,1171.216,300.059
0062.jpg,65.461,6384x3584,3192x1792,22.88,1331.1000000000001,141.15453333333335,10.724333333333334,20.790466666666667,64.48033333333333,76.16133333333333,18.118,17.189,162.092,1100.504,300.415
0063.jpg,66.376,6416x3616,3208x1808,23.2,1374.9733333333334,124.9991,12.268333333333333,28.985633333333336,54.925999999999995,76.68813333333334,18.555000000000003,16.873,185.601,800.397,302.524
0064.jpg,67.169,6464x3632,3232x1816,23.477,1379.7666666666667,142.58766666666668,10.222,21.490233333333332,64.50333333333333,78.87753333333335,18.235333333333333,17.015,164.65,1092.45,297.639
0065.jpg,68.264,6512x3664,3256x1832,23.86,1391.2699999999998,101.90536666666667,14.476333333333335,21.417266666666666,65.65066666666667,94.47543333333333,15.198,17.15,234.139,1114.054,252.552
0066.jpg,69.067,6560x3680,3280x1840,24.141,1409.1366666666665,101.18283333333333,15.017666666666665,19.287033333333337,75.88933333333334,97.38003333333334,14.955333333333334,17.132,238.588,1251.67,247.905
0067.jpg,70.008,6592x3712,3296x1856,24.47,1485.54,109.0953,14.045000000000002,22.4669,66.47800000000001,104.39446666666667,14.513666666666666,16.472,224.299,1089.158,234.399
0068.jpg,70.822,6640x3728,3320x1864,24.754,1488.4633333333331,98.50663333333334,15.362666666666668,20.2728,75.67133333333334,95.53000000000002,15.773000000000001,16.631,251.293,1221.045,259.123
